,cost_for_two,cuisines,locality,rating,rest_name,votes
0,"1,500","['North Indian', 'European', 'Mediterranean', 'BBQ']",Marathahalli,4.8,The Black Pearl                                     ,12080
1,"1,300","['American', 'Continental', 'North Indian', 'Mediterranean']",Old Airport Road,4.6,Big Pitcher                                     ,11547
2,"2,000","['Continental', 'North Indian', 'Chinese', 'Pizza', 'Finger Food']",Koramangala 5th Block,4.6,XOOX Brewmill                                     ,3261
3,"1,600","['Continental', 'Asian', 'Italian', 'North Indian']",Marathahalli,4.9,TBC- Sky Lounge                                     ,6485
4,800,"['Chinese', 'North Indian', 'Fast Food', 'Finger Food', 'Italian']","The Sahar Pavilion, Electronic City",4,Dr. Sheesha 24 Hours Gastro Pub                                     ,230
5,"1,500","['North Indian', 'Continental', 'Chinese', 'Pizza', 'Beverages', 'Desserts']",Marathahalli,4.6,The Big Barbeque                                     ,2711
6,"1,600","['Finger Food', 'Fast Food', 'North Indian', 'Italian']",Hennur,4.9,Byg Brewski Brewing Company                                     ,10428
7,"1,600","['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']",Indiranagar,4.9,Barbeque Nation                                     ,10251
8,900,"['Cafe', 'American', 'Burger', 'Steak']",Koramangala 5th Block,4.5,Truffles                                     ,16526
9,"1,600","['European', 'Mediterranean', 'North Indian', 'BBQ']",Marathahalli,4.8,AB's - Absolute Barbecues                                     ,14822
10,"1,300","['Salad', 'North Indian', 'Fast Food', 'Continental']",Marathahalli,4.8,The Globe Grub                                     ,6819
11,"1,500","['Finger Food', 'North Indian', 'Continental', 'Pizza', 'Asian', 'Desserts']",JP Nagar,4.3,URU Brewpark                                     ,1628
12,"1,400","['Continental', 'Italian', 'North Indian']",Sarjapur Road,4.5,Hoot                                     ,11432
13,"1,850","['Bar Food', 'Asian', 'Italian', 'North Indian', 'South Indian']",JP Nagar,4.9,Brahma Brews                                     ,4009
14,"2,000","['Italian', 'American', 'Modern Indian']",Indiranagar,4.5,Toit                                     ,16262
15,"1,400","['North Indian', 'Continental', 'Seafood', 'Goan', 'Asian']",Sarjapur Road,4.3,The Fisherman's Wharf                                     ,4518
16,"2,400","['Continental', 'European', 'BBQ', 'Chinese', 'Asian']",Whitefield,4.9,Biergarten                                     ,9928
17,700,['Bakery'],Indiranagar,4.2,Magnolia Bakery                                     ,569
18,"2,000","['North Indian', 'Asian', 'Thai']",Barton Centre,4.3,The 13th Floor                                     ,4848
19,"1,350","['Finger Food', 'Continental', 'North Indian', 'Asian']",Indiranagar,4.3,Daddy                                     ,1093
20,"1,500","['Asian', 'Burmese', 'Bubble Tea', 'Salad', 'Tea', 'Desserts', 'Ice Cream', 'Beverages']",Indiranagar,4.6,Burma Burma                                     ,2613
21,"1,200","['North Indian', 'Mughlai']",Sarjapur Road,4.6,Masala Mandi                                     ,1104
22,"1,600","['Finger Food', 'North Indian', 'Continental', 'Chinese', 'Italian']",Whitefield,4.7,The Pallet                                     ,5710
23,450,"['South Indian', 'Biryani']",Jayanagar,4.2,Shivaji Military Hotel                                     ,3407
24,"1,400","['Asian', 'Mediterranean', 'North Indian', 'Desserts']",Marathahalli,4.5,Flechazo                                     ,8702
25,200,['South Indian'],Basaveshwara Nagar,3.6,TKS Iyengars                                     ,36
26,"2,000","['Continental', 'North Indian', 'Pizza', 'BBQ']",Koramangala 6th Block,4.6,The Bier Library                                     ,2833
27,"2,600","['Japanese', 'Thai', 'Chinese', 'Korean']",Sheraton Grand Bangalore Hotel at Brigade Gateway,4.1,High Ultra Lounge                                     ,0
28,"1,500","['Continental', 'BBQ']",Residency Road,4.8,Communiti                                     ,7116
29,"1,500",['Kerala'],Koramangala 6th Block,4.4,Kappa Chakka Kandhari                                     ,249
30,"2,500","['Continental', 'North Indian', 'Kebab', 'Burger']",Windmills Craftworks,4.5,Windmills Craftworks                                     ,6503
31,"2,000","['Bar Food', 'North Indian', 'Continental', 'Chinese', 'Beverages']",BTM,4.8,Stories - The Brew Chapter                                     ,3826
32,"1,500","['North Indian', 'Chinese', 'Biryani', 'American', 'Continental']",Koramangala 7th Block,4.4,Koramangala Social                                     ,5623
33,600,"['Biryani', 'Andhra', 'North Indian', 'Seafood']",Jayanagar,4.5,Meghana Foods                                     ,5211
34,"2,000","['Continental', 'Finger Food']",JP Nagar,4.5,The Pump House                                     ,2092
35,"2,500",['Continental'],UB City,4.2,Skyye                                     ,3391
36,"1,500","['Finger Food', 'North Indian', 'Asian', 'Pizza', 'Italian', 'Desserts']","Eva Mall, Brigade Road",4.6,ShakesBierre                                     ,2262
37,"1,500","['Thai', 'Japanese', 'Indonesian', 'Chinese']",Rajarajeshwari Nagar,4,Stonny Brook                                     ,412
38,"1,500","['Modern Indian', 'Continental', 'Pizza', 'Finger Food']",Whitefield,4.4,Fox In The Field                                     ,449
39,"1,100","['South Indian', 'Finger Food']",Indiranagar,4.3,Bob's Bar                                     ,1454
40,"1,300","['North Indian', 'South Indian', 'Continental', 'Asian', 'Desserts']",Rajarajeshwari Nagar,4.4,Secret Of Bangalore                                     ,2631
41,600,"['Bakery', 'Cafe', 'Italian', 'Desserts']",Indiranagar,4.3,Glen's Bakehouse                                     ,5828
42,"2,000","['Continental', 'North Indian', 'BBQ', 'Steak']","Soul Space Arena Mall, Marathahalli",4.8,Brew and Barbeque - A Microbrewery Pub                                     ,10787
43,"1,000","['Finger Food', 'Continental', 'North Indian']",Koramangala 5th Block,4.6,Gilly's Restobar                                     ,4825
44,"1,900","['North Indian', 'American', 'Continental', 'Pizza']",Whitefield,4.7,Prost Brew Pub                                     ,692
45,"2,500","['North Indian', 'Mughlai', 'Hyderabadi', 'Asian', 'Thai']",Barton Centre,4.2,Ebony                                     ,3344
46,"2,600","['North Indian', 'Continental', 'Chinese', 'South Indian']","Radisson Blu, Marathahalli",4.5,Melange - Radisson Blu                                     ,1168
47,"1,600","['European', 'Italian', 'American', 'Salad']",Indiranagar,4.5,Smoke House Deli                                     ,5919
48,"1,600","['Bar Food', 'Finger Food', 'Pizza']",Electronic City,4.7,46 Ounces Brewgarden                                     ,1700
49,"1,600","['North Indian', 'Asian', 'Chinese', 'Bar Food', 'Beverages']",Bellandur,4.6,Xochi Bar And Kitchen                                     ,584
50,"1,400","['Chinese', 'Thai', 'North Indian', 'Seafood', 'Beverages', 'Desserts']",Indiranagar,3.9,Robot Restaurant                                     ,455
51,"1,800","['Italian', 'BBQ', 'Asian', 'Fast Food']",Indiranagar,4.3,LOFT38                                     ,4398
52,"1,500","['Modern Indian', 'North Indian', 'Mughlai']",Indiranagar,4.4,Delhi Highway                                     ,4656
53,"1,500","['North Indian', 'Chinese', 'Thai', 'South Indian', 'Continental']","BluPetal Hotel, Koramangala",4.5,Buff Buffet Buff                                     ,3906
54,"1,800",['Modern Indian'],Indiranagar,4.5,Bombay Brasserie                                     ,2261
55,800,"['Andhra', 'Biryani']",Residency Road,4.4,Nagarjuna                                     ,2210
56,"1,500","['North Indian', 'Modern Indian', 'South Indian', 'Continental']",Sarjapur Road,4.6,Aurum Brew Works                                     ,1951
57,"1,400","['North Indian', 'Fast Food']",JP Nagar,4.6,Deja Vu Buffet Bar                                     ,3945
58,"3,000","['Japanese', 'Sushi', 'Thai', 'Asian']",Lavelle Road,4.4,Kazé                                     ,1095
59,"1,500","['Bar Food', 'North Indian', 'Biryani', 'Mughlai']",Koramangala 5th Block,4.2,Badmaash                                     ,508
60,"1,800","['Mediterranean', 'European', 'Salad']",Richmond Road,4.4,Olive Bar And Kitchen                                     ,2420
61,"1,600","['Mediterranean', 'Continental', 'Italian']",Koramangala 7th Block,4.6,Fenny's Lounge And Kitchen                                     ,7103
62,"1,400","['Continental', 'North Indian', 'American', 'Asian', 'Desserts']",Koramangala 5th Block,4.5,The Reservoire                                     ,3677
63,"1,400","['North Indian', 'Continental', 'Chinese']",Indiranagar,4.3,Vapour Pub & Brewery                                     ,7714
64,"1,000","['North Indian', 'Biryani', 'Chinese', 'Beverages']",Marathahalli,4.7,Chulha Chauki Da Dhaba                                     ,2838
65,"3,500","['North Indian', 'Italian', 'Asian', 'Continental', 'Mediterranean']","The Leela Palace, Old Airport Road",4.2,Citrus - The Leela Palace                                     ,664
66,"1,400","['North Indian', 'Continental', 'Asian', 'Desserts', 'Italian']",Whitefield,4.6,Chullah Bhatti Grand                                     ,782
67,600,"['Cafe', 'American', 'Burger']",Koramangala 4th Block,4.5,The Hole In The Wall Cafe                                     ,7829
68,250,['South Indian'],Basavanagudi,4.4,Mavalli Tiffin Room (MTR)                                     ,3196
69,"2,200","['North Indian', 'Continental', 'Italian']","JW Marriott Bengaluru, Lavelle Road",4.4,JW Kitchen - JW Marriott Bengaluru                                     ,2339
70,"1,700","['Asian', 'Continental', 'Pizza', 'North Indian', 'Mediterranean']",Sahakara Nagar,4.2,The Druid Garden                                     ,3606
71,"1,500","['Continental', 'Asian', 'Italian', 'North Indian']",Indiranagar,4.6,1131 Bar + Kitchen                                     ,5215
72,"5,000",['European'],Bannerghatta Road,4.3,Grasshopper                                     ,785
73,"1,500","['Finger Food', 'North Indian', 'Continental', 'Pizza']",Electronic City,4.4,BLR Brewing Co.                                     ,475
74,"1,500",['Modern Indian'],Koramangala 7th Block,4.6,Bombay Adda                                     ,5780
75,"1,400","['North Indian', 'Biryani']",Kalyan Nagar,4.4,Sigree Global Grill                                     ,1511
76,"2,500","['American', 'BBQ', 'Beverages']",St. Marks Road,4.5,Hard Rock Cafe                                     ,5890
77,"2,000","['North Indian', 'Continental', 'Chinese']","The Den, Whitefield",4.4,The Creek - The Den Bengaluru                                     ,718
78,"1,700","['Continental', 'Asian', 'American', 'North Indian']",Koramangala 5th Block,4.3,Boho                                     ,2604
79,"1,200","['Finger Food', 'North Indian', 'Continental', 'Pizza']",Indiranagar,4.7,Tipsy Bull - The Bar Exchange                                     ,4726
80,"1,400","['Continental', 'Finger Food', 'Asian', 'North Indian']","Gilly's Redefined, Koramangala 4th Block",4.7,The Terrace at Gilly's Redefined                                     ,2997
81,"1,500","['Finger Food', 'North Indian', 'Continental', 'European']",Marathahalli,4.7,The Boozy Griffin                                     ,7289
82,"1,500","['Continental', 'Chinese', 'Finger Food', 'North Indian']",MG Road,4.1,SkyDeck By Sherlock's                                     ,2033
83,"1,200","['Japanese', 'Sushi', 'Asian', 'Chinese', 'Momos']",Indiranagar,4.4,The Fatty Bao - Asian Gastro Bar                                     ,4282
84,"1,650","['Finger Food', 'Continental', 'North Indian', 'Italian']",Rajajinagar,4.2,Jetlag                                     ,2133
85,"2,000","['Sushi', 'Continental', 'Italian', 'Asian']",Indiranagar,4.4,Arena - Artisanal Brewkitchen                                     ,1226
86,400,"['Healthy Food', 'North Indian', 'Biryani', 'Continental', 'Desserts']",HSR,4.2,eat.fit                                     ,1721
87,"1,000","['Cafe', 'Continental']",Mysore Road,3.5,Rasta Cafe                                     ,4009
88,"2,000","['Continental', 'Asian', 'Modern Indian']",Indiranagar,4.4,Nevermind - Bar & Social                                     ,757
89,"3,500","['Mangalorean', 'Konkan', 'Seafood', 'Kerala']","The Gateway Hotel, Residency Road",4.4,Karavalli - The Gateway Hotel                                     ,783
90,"2,000","['Modern Indian', 'North Indian', 'South Indian']",St. Marks Road,4.5,Raahi                                     ,203
91,800,"['Cafe', 'Italian']",Koramangala 7th Block,4.5,Dyu Art Cafe                                     ,4417
92,800,"['South Indian', 'Biryani', 'Chinese', 'North Indian']",Indiranagar,4.1,Dindigul Thalappakatti                                     ,639
93,"1,500","['North Indian', 'Chinese', 'BBQ']",Church Street,4.2,Chutney Chang                                     ,4858
94,"2,000","['American', 'Continental']",Brigade Road,4.3,Arbor Brewing Company                                     ,8883
95,"1,500","['American', 'Chinese', 'Continental', 'North Indian']",Rajajinagar,4.7,Stories                                     ,5230
96,"1,700","['Pizza', 'North Indian', 'Modern Indian']",Race Course Road,4.5,The London Curry House - The Royale Senate Hotel                                     ,5218
97,"1,700","['Continental', 'Modern Indian']",Indiranagar,4.3,Lono                                     ,954
98,"1,450","['North Indian', 'Asian', 'Seafood', 'Chinese']",JP Nagar,4.4,Hakuna Matata                                     ,3175
99,"1,300","['North Indian', 'Continental', 'Chinese', 'Thai']",Marathahalli,4.6,Sidewalk - The Garden Bar                                     ,4964
100,"1,400","['Finger Food', 'South Indian', 'Pizza']",Indiranagar,4.9,UDP Urban Deccan Pub                                     ,160
101,"1,400","['Finger Food', 'North Indian', 'Continental', 'Pizza', 'Desserts']",Electronic City,4.7,Fire Station                                     ,2231
102,"1,200","['North Indian', 'Chinese', 'Continental', 'Momos']",Marathahalli,4.2,Foxtrot                                     ,1543
103,"2,300","['Finger Food', 'North Indian', 'Continental']",JP Nagar,4.6,Levitate Brewery and Kitchen                                     ,2166
104,"1,300","['Bar Food', 'Asian', 'North Indian', 'Continental', 'Italian']",HSR,4.8,House Of Commons                                     ,5434
105,"3,000","['Japanese', 'Asian']",UB City,4.3,Shiro                                     ,2403
106,"2,300","['Finger Food', 'North Indian', 'Continental']",JP Nagar,4.6,Levitate Brewery and Kitchen                                     ,2166
107,"1,600","['Continental', 'North Indian', 'Chinese', 'BBQ']",Marathahalli,4.6,ANTIGRAVITY                                     ,2490
108,"1,400","['Finger Food', 'Continental', 'Chinese', 'Italian', 'North Indian']",Koramangala 5th Block,4.2,Indigo XP                                     ,3006
109,"1,800","['Finger Food', 'Continental', 'North Indian', 'Fast Food']",Indiranagar,4.5,Inntense Restobar                                     ,1257
110,"1,500","['South Indian', 'Modern Indian']",Brigade Road,4.5,The Permit Room                                     ,1954
111,"1,900",['Finger Food'],"VR Bengaluru, Whitefield",4.1,alt                                     ,1057
112,"1,500","['North Indian', 'South Indian']",Sadashiv Nagar,4.4,Sattvam                                     ,2276
113,"1,200","['North Indian', 'Italian']",Jayanagar,4.4,Stegi - Modern Indian                                     ,844
114,200,"['Bakery', 'Desserts']",Rajajinagar,4.7,O.G. Variar & Sons                                     ,1362
115,450,"['North Indian', 'Continental', 'BBQ']",HSR,4.3,Al Daaz                                     ,1357
116,"1,200","['North Indian', 'Mughlai', 'Afghan']","The President Hotel, Jayanagar",4.1,Gufha - The President Hotel                                     ,2006
117,"1,300","['Modern Indian', 'North Indian', 'Beverages']",Indiranagar,4.8,Street Storyss                                     ,687
118,"1,700","['Finger Food', 'North Indian', 'Continental', 'Pizza']",Electronic City,4.4,What the Ale?!                                     ,466
119,800,"['Modern Indian', 'North Indian', 'Pizza', 'Continental', 'Beverages']",Shanti Nagar,4.5,The Bangalore Cafe                                     ,1677
120,150,['South Indian'],Malleshwaram,4.6,CTR                                     ,4897
121,"1,500","['Finger Food', 'North Indian', 'Italian', 'Biryani', 'Desserts']",Kanakapura Road,4.3,Whattay Kitchen and Brew                                     ,306
122,100,['South Indian'],Jayanagar,4.9,Taaza Thindi                                     ,4741
123,"1,700","['Italian', 'Pizza', 'Mexican']",Indiranagar,4.2,Little Italy                                     ,3487
124,"1,400","['North Indian', 'South Indian', 'Beverages']",Electronic City,4.5,The Barbecue Kingdom                                     ,450
125,800,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",Koramangala 5th Block,4.6,Empire Restaurant                                     ,9456
126,"2,000","['European', 'Asian']",Richmond Road,4.5,Toast & Tonic                                     ,1272
127,"1,500","['North Indian', 'Mughlai']",Marathahalli,4.2,Jalsa                                     ,2429
128,"1,500","['Salad', 'Mangalorean']",Windmills Craftworks,4.5,Oota Bangalore                                     ,648
129,"1,800","['Asian', 'Mediterranean', 'North Indian', 'European', 'Sandwich', 'Desserts', 'Beverages']",Indiranagar,4.7,Santé Spa Cuisine                                     ,813
130,"1,200","['Chinese', 'North Indian', 'Mughlai', 'Finger Food', 'Seafood']",JP Nagar,4.5,1522 - The Pub                                     ,261
131,900,"['Desserts', 'Cafe', 'Beverages']",Indiranagar,4.5,Smoor                                     ,2058
132,"1,500",['North Indian'],Marathahalli,4.5,Dhaba Estd 1986 Delhi                                     ,2504
133,"1,700","['Thai', 'Momos', 'Asian', 'Chinese', 'Sushi']",Koramangala 5th Block,4.7,Asia Kitchen By Mainland China                                     ,3251
134,"1,300","['North Indian', 'Fast Food', 'Mughlai', 'Continental']",Whitefield,4.5,One For The Road                                     ,946
135,700,"['Biryani', 'North Indian', 'Chinese', 'Mughlai']",Richmond Road,4.3,Hyderabad Biryaani House                                     ,1529
136,"2,000","['Chinese', 'Continental', 'North Indian']",Brigade Road,4.7,NoLimmits Lounge and Club                                     ,3212
137,350,"['Ice Cream', 'Desserts']",Indiranagar,4.6,Corner House Ice Cream                                     ,2380
138,"1,500","['North Indian', 'Continental', 'Italian', 'Salad', 'Biryani']",Sarjapur Road,4.4,Rural Blues                                     ,2030
139,"1,200","['North Indian', 'Asian', 'Continental', 'Italian']",Whitefield,4.3,Sky Garden                                     ,294
140,"1,500","['European', 'Continental']",Indiranagar,4.1,Three Dots & A Dash                                     ,4822
141,"2,000","['Chinese', 'Asian', 'Cantonese', 'Tea']","1 MG Road Mall, MG Road",4.6,Yauatcha                                     ,2789
142,"1,800","['North Indian', 'Continental', 'Asian', 'Burger', 'Desserts']",Whitefield,4.4,Red Rhino                                     ,2658
143,"1,600","['Asian', 'Thai', 'Sushi', 'Japanese']",Indiranagar,4.5,China Bistro                                     ,892
144,"2,000","['North Indian', 'Mughlai']","BluPetal Hotel, Koramangala",4.5,Sultans of Spice                                     ,3927
145,"1,300","['North Indian', 'Continental']",Cunningham Road,4.4,Hammered                                     ,6039
146,700,"['South Indian', 'North Indian', 'Chinese', 'Beverages']",St. Marks Road,4,Koshy's                                     ,2484
147,"1,200","['BBQ', 'Arabian', 'North Indian', 'Biryani']",Old Madras Road,4,Zaatar                                     ,877
148,"1,100","['BBQ', 'Chinese', 'Continental']",Koramangala 5th Block,4.2,Ministry Of Barbeque                                     ,85
149,"1,000",['North Indian'],Jayanagar,4.2,Subz                                     ,2140
150,"1,600",['Modern Indian'],UB City,4.3,Farzi Cafe                                     ,2795
151,900,"['Rajasthani', 'Gujarati', 'North Indian']",Indiranagar,4.1,Rajdhani                                     ,1265
152,"1,700","['Finger Food', 'Continental', 'Italian', 'North Indian']",JP Nagar,4.2,By The Peepal                                     ,539
153,"1,600","['Continental', 'Mediterranean', 'North Indian', 'Chinese', 'Finger Food']",Koramangala 5th Block,4.4,Brooks & Bonds Brewery                                     ,5736
154,"1,200","['Cafe', 'Pizza', 'Beverages']",Church Street,4.6,Brik Oven                                     ,2740
155,"1,200","['Portuguese', 'Wraps', 'Burger', 'Salad']",Indiranagar,4.7,Nando's                                     ,2359
156,700,"['North Indian', 'Chinese', 'Continental']",Jalahalli,4,Kasipu                                     ,540
157,"1,500","['Italian', 'Pizza', 'Salad', 'European']",Indiranagar,4.5,Pasta Street                                     ,2670
158,"2,000","['Asian', 'BBQ', 'Momos']",Indiranagar,4.4,Mamagoto                                     ,2801
159,800,"['Cafe', 'Desserts']",Indiranagar,4.5,Lavonne                                     ,1520
160,"1,600","['Finger Food', 'American', 'Asian', 'Steak', 'North Indian', 'South Indian', 'Burger']",JP Nagar,4.4,Fat Owl                                     ,496
161,"2,800","['Chinese', 'Thai']","JW Marriott Bengaluru, Lavelle Road",4.4,Bo Tai                                     ,145
162,"1,600","['Finger Food', 'Continental', 'American', 'Pizza']",Koramangala 5th Block,4.5,Simon Says Brew Works                                     ,4375
163,"1,700","['Asian', 'Continental', 'Mediterranean', 'Modern Indian']",Whitefield,4.3,153 Biere Street                                     ,2428
164,"1,300","['Cafe', 'Continental', 'European', 'Juices']",Koramangala 5th Block,4.1,Om Made Cafe                                     ,2881
165,"2,000","['Finger Food', 'Continental', 'European', 'North Indian', 'Italian', 'Asian']","Phoenix Market City Mall, Whitefield",4.2,Lord Of The Drinks                                     ,420
166,"1,500","['Finger Food', 'Continental']","Escape Hotel & Spa, Indiranagar",4.1,The Black Rabbit                                     ,4607
167,"1,100","['Arabian', 'Biryani', 'Desserts', 'Beverages', 'Salad']",Marathahalli,4.3,Barkaas- Arabic Restaurant                                     ,619
168,"1,500","['Bar Food', 'Asian', 'Italian', 'North Indian']",Mysore Road,4.5,Brew Kings                                     ,336
169,"2,400","['Italian', 'Mediterranean', 'European', 'Continental', 'Salad']","Forum Mall, Koramangala",4.4,Toscano                                     ,1157
170,600,"['Pizza', 'Desserts', 'Fast Food']",Basaveshwara Nagar,3.6,Pizza Hut                                     ,561
171,"1,000","['Asian', 'Indonesian', 'Momos', 'Japanese', 'Sushi']",Koramangala 4th Block,4.5,Nasi And Mee                                     ,2723
172,"3,000","['North Indian', 'Mughlai', 'Desserts']","JW Marriott Bengaluru, Lavelle Road",4.3,Spice Terrace - JW Marriott                                     ,861
173,"2,500","['North Indian', 'Continental']","Renaissance Hotel, Race Course Road",4.5,"Lush - Renaissance Hotel, Bengaluru                                     ",913
174,300,"['Ice Cream', 'Desserts']",Thippasandra,3.5,Nutty Squirrel                                     ,17
175,"1,200","['North Indian', 'Fast Food', 'Chinese', 'Mughlai']",Indiranagar,4.5,21st Amendment Gastrobar                                     ,239
176,950,"['Cafe', 'North Indian', 'Chinese', 'Desserts']",Koramangala 5th Block,4.6,Echoes Koramangala                                     ,3745
177,800,"['Mughlai', 'North Indian', 'Chinese', 'Beverages']",Whitefield,4.5,The Punjabi Rasoi                                     ,822
178,"1,700","['Asian', 'Japanese', 'Thai', 'Burmese', 'Korean', 'Indonesian', 'Vietnamese', 'Singaporean']",St. Marks Road,4.5,MISU                                     ,1748
179,"1,500","['North Indian', 'Mughlai', 'Biryani', 'Mangalorean']","Forum Mall, Koramangala",4.5,Salt - Indian Restaurant Bar & Grill                                     ,1081
180,"1,200","['Cafe', 'Continental', 'Italian']",MG Road,4.3,Cafe Azzure                                     ,3429
181,800,['North Indian'],Indiranagar,4.5,NH8                                     ,2808
182,150,['South Indian'],Basavanagudi,4.3,Vidyarthi Bhavan                                     ,4881
183,800,"['Biryani', 'Mughlai', 'North Indian', 'Chinese']",Nagawara,4.1,Aroma's Hyderabad House                                     ,1039
184,"1,200","['North Indian', 'BBQ', 'Desserts']","Mantri Square, Malleshwaram",4.9,Barbecue by Punjab Grill                                     ,3590
185,"2,000",['Italian'],Indiranagar,4.5,Chianti                                     ,4766
186,"1,400","['Continental', 'Finger Food', 'North Indian', 'Chinese']",Koramangala 5th Block,4.5,Crawl Street                                     ,3997
187,900,"['Biryani', 'North Indian']",Indiranagar,4.3,Tandoori Taal                                     ,1911
188,650,"['Cafe', 'Italian', 'Continental']",Koramangala 4th Block,4,Qube Cafe                                     ,230
189,750,"['Mughlai', 'Arabian', 'Seafood', 'North Indian']",Koramangala 5th Block,4.6,Karama Restaurant                                     ,2809
190,350,"['South Indian', 'North Indian', 'Chinese', 'Biryani']",Electronic City,3.5,E - City Combos                                     ,14
191,"1,500","['Finger Food', 'Continental', 'Fast Food']",Lavelle Road,4.2,The Biere Club                                     ,3669
192,"1,500","['Continental', 'North Indian', 'Fast Food', 'Thai', 'Finger Food', 'Andhra']",Sarjapur Road,4.5,La Casa Brewery And Kitchen                                     ,2898
193,"1,500","['Continental', 'North Indian', 'Fast Food', 'Thai', 'Finger Food', 'Andhra']",Sarjapur Road,4.5,La Casa Brewery And Kitchen                                     ,2898
194,400,"['Biryani', 'Mughlai', 'Beverages']",Frazer Town,3.4,Miya Bhai Biryani House                                     ,7
195,"1,500","['North Indian', 'Continental']","Soul Space Arena Mall, Marathahalli",4.5,Output Bengaluru                                     ,1760
196,600,"['Italian', 'Pizza', 'Desserts', 'Beverages']",HSR,4.4,Onesta                                     ,4753
197,500,"['Seafood', 'Chettinad']",Majestic,4.1,Fishland                                     ,337
198,"1,500","['Parsi', 'Modern Indian', 'Beverages', 'Desserts']",Lavelle Road,4.5,SodaBottleOpenerWala                                     ,4505
199,"1,500","['Finger Food', 'Continental', 'Pizza', 'Chinese', 'North Indian']",Bellandur,4.4,Habit@                                     ,349
200,700,['Cafe'],Whitefield,4.2,TherPUP - a Dog Cafe                                     ,1176
201,"1,800","['Continental', 'Italian', 'North Indian']",Kalyan Nagar,4.5,Brewklyn Microbrewery                                     ,3246
202,"1,800","['Finger Food', 'Continental', 'North Indian', 'Pizza']",HSR,4.1,Shift                                     ,2450
203,300,"['Middle Eastern', 'Fast Food', 'Rolls', 'Wraps']",Kammanahalli,4.3,Al Amanah Cafe                                     ,2055
204,"1,000","['Chinese', 'Korean', 'Japanese', 'Beverages']",Indiranagar,4.4,DOFU                                     ,120
205,"1,600","['Modern Indian', 'Continental', 'BBQ']","VR Bengaluru, Whitefield",4.3,The Whitefield Arms Pub & Microbrewery                                     ,1643
206,"1,900","['Continental', 'Italian', 'North Indian', 'Mexican']","OPUS, Sarjapur Road",4.3,OPUS Club                                     ,2407
207,400,"['Fast Food', 'Beverages']",Frazer Town,3.3,Snack Time                                     ,4
208,350,"['Healthy Food', 'North Indian']",Marathahalli,4.3,Khichdi Experiment                                     ,57
209,800,"['North Indian', 'Maharashtrian', 'Continental']","Ibis Bengaluru, Marathahalli",4.2,Spice It - Ibis Bengaluru                                     ,727
210,"1,200","['North Indian', 'Continental', 'Chinese', 'Italian']",Brigade Road,4.5,By Chance                                     ,1263
211,"3,000",['Thai'],"The Oberoi, MG Road",4.5,Rim Naam - The Oberoi                                     ,1103
212,"1,500","['Continental', 'North Indian', 'Chinese', 'Modern Indian', 'Asian']",Koramangala 5th Block,4.7,The Flying Trapeze                                     ,1880
213,"2,500","['Modern Indian', 'European', 'American']",Indiranagar,4.4,Sly Granny - The Community House                                     ,1230
214,"1,800","['Japanese', 'Sushi', 'Continental', 'Asian', 'North Indian']",HSR,4.3,Broadway - The Gourmet Theatre                                     ,1432
215,400,"['North Indian', 'Biryani', 'Kebab', 'BBQ']",BTM,3.9,Express by ABs                                     ,40
216,"2,000","['Finger Food', 'Continental', 'Italian', 'Asian', 'North Indian', 'Chinese']",HSR,4.3,Brother Barley Brewing Company                                     ,518
217,"1,700","['North Indian', 'Modern Indian', 'Fast Food']","Ibis Hotel, Richmond Road",4.5,KA 01                                     ,208
218,"2,000","['North Indian', 'Continental']",Sheraton Grand Bangalore Hotel at Brigade Gateway,4.3,Feast - Sheraton Grand Bangalore Hotel at Brigade...                                     ,1137
219,"1,600","['North Indian', 'Bar Food', 'Beverages']","Forum Shantiniketan Mall, Whitefield",4.4,Achaar                                     ,636
220,"2,000","['Modern Indian', 'Bar Food']","The Chancery Pavilion, Residency Road",4.4,Alchemy - The Chancery Pavilion                                     ,1052
221,600,"['North Indian', 'Healthy Food', 'Beverages']",Koramangala 7th Block,4.3,Gramin                                     ,3705
222,"1,300","['Asian', 'Chinese', 'Continental', 'North Indian', 'South Indian', 'Biryani']",Sarjapur Road,4.1,The Hidden Home                                     ,1631
223,800,"['Healthy Food', 'Modern Indian', 'Desserts']",Jayanagar,4.3,Go Native                                     ,1576
224,"1,800","['American', 'Tex-Mex', 'Burger', 'BBQ']",Bellandur,4.6,Chili's American Grill & Bar                                     ,2309
225,"1,200","['North Indian', 'Thai', 'Italian', 'Chinese', 'Bar Food', 'Fast Food', 'Beverages']",Koramangala 7th Block,4.5,Harry's Bar + Cafe                                     ,1648
226,"1,500","['North Indian', 'Mughlai']",Grand Mercure,4.2,By The Blue - Grand Mercure                                     ,892
227,"1,500","['Finger Food', 'Asian', 'Burger', 'Pizza', 'Modern Indian']",Residency Road,4.6,Sotally Tober                                     ,1231
228,300,"['Burger', 'Fast Food', 'Pizza']",Marathahalli,3.5,Burger Town                                     ,6
229,600,"['Biryani', 'North Indian', 'Chinese']",Frazer Town,4,Bucket Biryani                                     ,278
230,"1,000","['Cafe', 'Tea', 'Continental', 'Desserts']",Church Street,4.1,Tea Villa Cafe                                     ,257
231,300,"['Fast Food', 'Desserts', 'Beverages']",BTM,3.8,Waffle Cart                                     ,113
