,cost_for_two,cuisines,locality,rating,rest_name,votes
842,350,"['Fast Food', 'Biryani', 'Beverages']",HBR Layout,3.5,Johars Kitchen                                     ,54
843,300,"['Momos', 'Chinese', 'Fast Food']",Brookefield,4.3,HOMMS                                     ,424
844,300,"['North Indian', 'Chinese', 'Fast Food']",Sarjapur Road,3.7,Good Food Kitchen                                     ,22
845,700,"['Cafe', 'Continental', 'Burger', 'Sandwich']",Indiranagar,4.1,Cafe Terra                                     ,520
846,300,"['Kerala', 'South Indian', 'Biryani', 'Seafood']",Koramangala 5th Block,3.7,Oru Vadakkan Cafe                                     ,44
847,450,"['Cafe', 'Tea', 'Street Food']",Koramangala 5th Block,4.3,Chai Galli                                     ,552
848,200,"['South Indian', 'North Indian', 'Chinese']",Koramangala 6th Block,3.6,Kakal Kai Ruchi                                     ,13
849,450,"['South Indian', 'North Indian', 'Chinese']",Yeshwantpur,4.2,Chandrappa Hotel                                     ,328
850,150,"['Ice Cream', 'Desserts']",Bannerghatta Road,3.8,Amul Ice Cream Parlour                                     ,28
851,300,"['Desserts', 'Ice Cream', 'Beverages']",Indiranagar,4.3,Iceberg Icecreams                                     ,107
852,200,"['North Indian', 'Fast Food']",KR Puram,4.2,Mahalaxmi Cool Corner                                     ,348
853,350,['North Indian'],Banashankari,4.1,Mini Punjabi Dhaba                                     ,452
854,400,"['North Indian', 'Chinese']",BTM,3.9,Northern Kitchen's                                     ,39
855,"1,000","['North Indian', 'Continental', 'Chinese']",Old Madras Road,4.1,The Terminal                                     ,432
856,100,['South Indian'],Jakkur,3.7,Bangalore Tiffins                                     ,47
857,400,"['Bakery', 'Sandwich', 'Beverages']",Kalyan Nagar,3.7,Ocean Cake                                     ,34
858,300,"['Andhra', 'North Indian', 'Biryani']",Whitefield,3.6,Kshatriya's Kitchen                                     ,79
859,500,"['Desserts', 'Bakery']",Indiranagar,4.3,WarmOven Cake & Desserts                                     ,956
860,450,"['North Indian', 'Biryani', 'Chinese', 'Mughlai']",Electronic City,3.6,Indian Grill House                                     ,23
861,350,"['North Indian', 'Chinese', 'Biryani']",Nagawara,3.6,Foodite                                     ,27
862,250,"['Chinese', 'North Indian', 'Odia']",Whitefield,3.9,Pop Inn - An Authentic Odia Restaurant                                     ,117
863,400,"['Biryani', 'North Indian']",BTM,3.7,Kapoor's Biriyani                                     ,384
864,300,"['North Indian', 'Biryani']",BTM,3.7,Sri Sapana Dhaba                                     ,69
865,300,"['Bengali', 'North Indian']",New BEL Road,4,Roy Hotel & Restaurant                                     ,240
866,500,"['North Indian', 'Chinese']",Koramangala 5th Block,4.1,Bathinda Junction                                     ,1375
867,400,"['Asian', 'Chinese']",BTM,4.1,World Of Asia                                     ,241
868,200,"['Mithai', 'South Indian']",Jayanagar,4.3,Mane Holige                                     ,236
869,500,"['Desserts', 'Beverages']",BTM,4.4,Budapest Bake Inn                                     ,134
870,700,"['Cafe', 'Continental', 'Italian', 'Burger', 'Beverages']",Ulsoor,4.3,Skoolroom                                     ,771
871,200,['Fast Food'],Whitefield,3.6,Bite'O                                     ,22
872,"1,800","['Finger Food', 'North Indian', 'Asian', 'Continental', 'Mexican']",HSR,4,Heartbreaker                                     ,265
873,300,"['Chinese', 'North Indian']",Banashankari,3.8,Kabab King Restaurant                                     ,45
874,"1,600","['Continental', 'North Indian', 'Asian']",Marathahalli,4.1,Earthen Bowl Resto Bar                                     ,259
